"date","site_name","GPP","ER","depth","temp.water","day.length","discharge","shortwave","velocity","discharge_log","depth_log","velocity_log","year"
"2015-07-22","nwis_11463980",2.02120952351468,-2.78691347224199,0.353177332639433,24.3864583333333,14.25,1.7503351051875,348.726875,0.380940140715015,0.559807258282377,-1.04078498943682,-0.965113027182872,2015
"2015-07-23","nwis_11463980",2.00051232116741,-2.65100889136358,0.351245126658353,24.0354166666667,14.25,1.72467296259375,350.432125,0.37858059050388,0.545037445607281,-1.0462709327127,-0.971326308019026,2015
"2015-07-24","nwis_11463980",2.03866807667881,-2.65470499675144,0.340576736055626,23.9166666666667,14.25,1.5875132349375,350.273541666667,0.365585941515091,0.462168788718461,-1.07711481591769,-1.00625389332778,2015
"2015-07-25","nwis_11463980",2.15380018488064,-2.75107213441522,0.332353354866046,23.8385416666667,14.25,1.48574956603125,351.673833333333,0.355599267383638,0.395919403177261,-1.10155655416895,-1.0339508355705,2015
"2015-07-26","nwis_11463980",2.39074302199085,-2.92646308442083,0.327433946877592,24.1666666666667,13.75,1.42734606909375,344.461041666667,0.34964433259641,0.355816824224929,-1.11646893317216,-1.0508388337541,2015
"2015-07-27","nwis_11463980",2.25671868570654,-2.73053650506368,0.323876241828327,24.5510416666667,13.75,1.3857557000625,349.206291666667,0.345342931591448,0.326245622650468,-1.12739380582446,-1.06321735103334,2015
"2015-07-28","nwis_11463980",2.38083875351823,-2.75269003292045,0.321871233084714,24.9625,13.75,1.362748261875,348.970958333333,0.342922313862097,0.309503441507395,-1.1336037106704,-1.07025134766694,2015
"2015-07-29","nwis_11463980",2.54611977735664,-2.98140986801995,0.31702929734647,25.084375,13.75,1.30817933796875,347.60925,0.33708496067192,0.26863635217529,-1.14876108872406,-1.08742027158511,2015
"2015-07-30","nwis_11463980",2.61633415102399,-2.90134435413207,0.31768750723558,25.1291666666667,13.75,1.315553516875,298.850375,0.337878120609073,0.27425750244572,-1.14668706099924,-1.08507003844128,2015
"2015-07-31","nwis_11463980",2.45820177243175,-2.74823927628986,0.322517035751339,24.3697916666667,13.75,1.37012244078125,314.995083333333,0.343701680310982,0.314900108679549,-1.13159932010629,-1.06798120624979,2015
"2015-08-01","nwis_11463980",2.28936577436153,-2.68332000468861,0.327371205656217,24.078125,13.75,1.426461167625,313.601958333333,0.349567259518577,0.355196669166293,-1.11666056642771,-1.05105929084896,2015
"2015-08-02","nwis_11463980",2.21069226397566,-2.61465536814078,0.33016531597882,24.3541666666667,13.75,1.459497489125,323.438166666667,0.35294845397082,0.378092190943989,-1.10816179244736,-1.04143325545675,2015
"2015-08-05","nwis_11463980",2.05320019360148,-2.36848425699992,0.345650248079005,22.5552083333333,13.75,1.65152110784375,322.655708333333,0.371756669351281,0.501696746780503,-1.06232785887376,-0.989515753382407,2015
"2015-08-06","nwis_11463980",2.06449289972446,-2.40042384288373,0.350520665813706,23.6010416666667,13.75,1.71523401359375,313.699416666667,0.377697222640858,0.539549522384375,-1.04833561329354,-0.973662402637709,2015
"2015-08-07","nwis_11463980",2.19140241134463,-2.56297676001319,0.356452815574672,23.8,13.75,1.794580178625,317.477375,0.384945353798136,0.584771110810794,-1.03155340251668,-0.95465389295519,2015
"2015-08-08","nwis_11463980",2.17834089188411,-2.46787963828619,0.362204730693917,23.4770833333333,13.75,1.8736313765,319.286333333333,0.391988222610612,0.627878460358582,-1.0155456726189,-0.936523484003699,2015
"2015-08-09","nwis_11463980",2.19617739705707,-2.64240723948455,0.365729080717441,23.6135416666667,13.5,1.92318585875,305.477583333333,0.396311296260174,0.653983112352309,-1.00586243629537,-0.925555274876636,2015
